id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,
7dc01,7,Drow Arachnomancer,Spiders emerge from every shadow as the drow arachnomancer begins to cast his spell.,Every last spider returns to the shadows the instant the arachnomancer lies dead on the ground.,,drow critter,3p 2t 4c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc02,7,Drow Warrior,A shining silver blade is the first thing you see as a drow warrior emerges from the darkness.,"The battle is over quickly, both parties sending deft strikes back and forth. Wiping the drow's blood from your weapon, you nod in appreciation at your fallen foe.",,drow critter series,5c + 8c + 6c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc03,7,Drow Blademaster,"The dark elf emerges from the shadows with a confident smile, his twin blades whirling and dancing in a dizzying display of martial skill.","Silver flashes back and forth before your eyes, nearly blinding. You catch the blademaster in a rare misstep and separate his head from his body.",,drow critter,t 16c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc04,7,Drow Assassin,"A slight movement in the shadows alerts you just in time to avoid a poison-tipped dart! With an angry hiss, a drow assassin draws her blade and advances upon you.","Though victorious, you marvel at how hard the drow was to hit; it moved as though made from shadow itself.",,drow critter series,2t 5c + m 5c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc05,7,Drow Drider,You are faced with a creature almost too horrible to comprehend: The head and torso of a beautiful dark elf maiden emerging from the bloated body and spindly legs of a gigantic spider.,"Drider defeated, you move quickly away, not wanting to remember the creature dead behind you.",,drow critter,m 18c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc06,7,Drow Priestess,"With a scream of rage, the drow priestess leaps into battle, intent on sacrificing you to Lolth, Demon Queen of Spiders!","""Lolth ... will ... rend ... your ..."" the priestess dies before finishing her final curse.",,drow critter series,3m + 2t 5c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc07,7,Drow Slavers,"With a crack of cruel whips and the rattle of manacles, a group of drow slavers rush forward, intent on forcing you to toil your life away in an Underdark slave pit.","Just as it looks like the slavers might have the upper hand, a group of newly-captured slaves rise up and fight for the cause. You take the keys from the dead drow and toss them to the slaves.",,drow critter,m p t 11c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
7dc08,7,Drow Raiders,"From the depths of the Underdark they come, intent on bringing death and ruin to the surface world, and they've selected you as their first victim!","You prove to be a poor choice for the raiders, their grand schemes dead in the dirt.",,drow critter series,3t p + p 3c + 2c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
7dc09,7,Drow Ritual,The air crackles with arcane energy and tangible evil. You need to stop this ritual right now!,"You slice through the webs of dark magic, killing the casters and making sure their evil ritual never completes.",,drow critter,m 3t 8c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
7dc10,7,Drow Spellweaver,"A figure clad in robes of spider-silk emerges from a swath of webs, her hands weaving an elaborate pattern as she readies a spell.","The spellweaver does her best to trap you like a giant fly, but you prove too much for the spider-worshiper.",,drow critter series,2m 2c + 2p 2c + t,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
7dc11,7,Duergar Rider,"It's hard to say which is more hideous, the stunted gray-skinned warrior or the savage hell-beast he rides upon. Both are intent on your destruction!","You land a fatal blow to the beast, sending the rider tumbling to the ground. He spits a curse at you before running off into the darkness.",,duergar critter,m p 2t 8c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
