id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,
5dc01,5,Cackling Imp,Apparently the little creature finds you endlessly amusing.,A faint demonic laugh can still be heard even after the imp's death.,,ashmadai critter series,p t 3c + p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc02,5,Branded Zealot,The fire of madness in his eyes sears even more deeply than the hot irons which scorched his own flesh.,"Knowing he is nearly defeated, the zealot looks you in the eyes and smiles as he plunges his own dagger into his throat.",,ashmadai critter,m 2p 5c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc03,5,Erinyes,The vicious she-devil slowly draws her rune-carved black sword and stares hungrily at your soul.,The black sword clatters against rocks on the floor as the last light leaves the she-devil's eyes.,,ashmadai critter series,p + 7c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
5dc04,5,Hellfire Warlock,This mage's incantations are lost among his mad laughter and the roar of hellfire.,"You disrupt the warlock's spell, causing him to mis-cast. He is turned to ash in a burst of his own hellfire.",,ashmadai critter,m 10c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
5dc05,5,Legion Devil,"The armored fiend moves with practiced precision, a consummate warrior form the armies of Hell.","The battle is fierce, but in the end the forces of hell are no match for your righteous prowess.",,ashmadai critter series,3m + t 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
5dc06,5,Shocktroop Devil,"Standing before you, sword and shield in hand, towers a front-line soldier in hell's army.","You chip a piece of horn from the fallen devil, a trophy from a worthy opponent.",,ashmadai critter,13c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc07,5,Hellfire Magus,The demonic child of a succubus grins as hellfire gathers in his hand.,"""Today is not my day to die,"" whispers the wounded magus as he vanishes in a cloud of fire and ash.",,ashmadai critter series,3m 3c + p,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc08,5,Ashmadai Summoner,"Taking his place in the circle, the summoner prepares to unleash hell itself.","As the summoner struggles to speak the final incantation, you are able to land a final, mortal blow.",,ashmadai critter,m p t 4c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
5dc09,5,Horde of Imps,"You know there are more embarrassing ways to die, but none come to mind...","Wave after wave of demonic fodder falls to your attack. When the frenzy is over, you don't see a single body in the room. Was it all a dream?",,ashmadai critter series,3c + 4m,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
5dc10,5,Ashmadai Ritual,"Summoners in place, the cult of Asmodeus worshipers prepares for rise of their god.",You are able to defeat the summoners before they can complete their ritual. The gates of hell will stay closed for now.,,ashmadai critter,p 11c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
5dc11,5,Greenscale Darter,Poison-tipped darts impact the wall nearby as the lizardfolk warrior lunges at you.,"The scales make for effective natural armor, but it's not enough to stop you from defeating the darter.",,lizardfolk critter series,m t 5c + 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc12,5,Greenscale Hunter,Colors shift across this Lizardfolk warrior's scales as he appears as if from nowhere to strike with his spear.,"Knowing he is nearly defeated, the hunter hides behind cover. You wait for him to reemerge, but he seems to vanish as mysterious as he appeared.",,lizardfolk critter,2t 8c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc13,5,Greenscale Trapper,"One more step and you would have been caught in the lizardfolk's trap, but you're able to defend yourself as he rushes in to finish the job.","You knock the lizardfolk off balance, causing him to fall into his own trap. He struggles for a moment and then lies completely still.",,lizardfolk critter series,3c + 4t,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
5dc14,5,Greenscale Marsh Mystic,"The swamp gathers around your feet, as though being manipulated by an unseen force.",The swamp returns to normal as soon as the marsh mystic falls.,,lizardfolk critter,m 11c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
5dc15,5,Blackscale Bruiser,"A powerful tail swings to knock you off balance, an easy target for the brutal greatclub.","The bruiser relentlessly lands blow after punishing blow. Even after the battle is over, you wait for a minute to see if he'll rise up and attack again.",,lizardfolk critter series,3p + m 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
5dc16,5,Lizardfolk Scouts,"Swimming through the waters, the scouts nearly slip by unnoticed.",You are able to avoid the scouts' detection. The element of surprise proves to be the key to winning the battle.,,lizardfolk critter,m p t 5c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc17,5,Lizardfolk Patrol,A group of hunters secure the area while the trappers prepare to capture tonight's feast.,"Watching the lizardfolk's preparation and seeing their overwhelming numbers, you decide to avoid the battle altogether",,lizardfolk critter series,4p + 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
5dc18,5,Lizardfolk Hunting Party,"A greenscale hunter sits on the ground, seemingly all alone...","Seeing the lizardfolk's trap for what it is, you find and take out the hidden hunting party before easily defeating the bait.",,lizardfolk critter,p 10c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
5dc19,5,Lizardfolk Druid,It almost looks like that marsh mystic is having a conversation with a pair of crocodiles...,You interrupt the druid mid-conversation. He regards you for a minute before turning back to the crocodiles and picking up where he left off.,,lizardfolk critter series,4t + 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
5dc20,5,Lizardfolk Savage,"Wild even for a blackscale, the massive lizardfolk sends its greatclub crashing down inches from where you stand.","You're not sure how you survived the battle, and hope to never deal with a lizardfolk like that again.",,lizardfolk critter,t 12c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
