id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,
6dc01,6,Blue Fire Eye,For one horrible moment you stand transfixed by the alien gaze of the disembodied eye before it lashes out with azure fire.,"The gelatinous abomination falls to the ground, bursting with a disgusting sploosh.",,aberrant critter series,2p 3c + 2m 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
6dc02,6,Plaguechanged Raider,The sword-like arms of this misshapen creature strike out at you in a blur of ferocity and blue flame.,"The misshapen raider lies dead at your feet, filling you with dread even after death.",,aberrant critter,m t 10c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
6dc03,6,Plaguechanged Maw,Bile and shadow drips from the fangs of the alien horror.,"Defeated, this mockery of the natural world will cause no more havoc.",,aberrant critter series,m 5c + t 4c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
6dc04,6,Intellect Predator,A brain with arms and legs moves impossibly across the room. This abomination cannot be left alive.,"With a sickening squish, you destroy the aberrant creature. Still not entirely sure how something like that can exist, you hope never to see another.",,aberrant critter,m p 2t 6c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
6dc05,6,Foulspawn Berserker,Each wound seems to make the creature larger and more fearsome.,"Even after death, the abomination has a bloodthirsty look in its eyes.",,aberrant critter series,2t 4c + 5c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
6dc06,6,Foulspawn Hulk,The creature's armor is torn away as each blow received makes it grow bigger and stronger.,"The massive abomination defeated, it finally begins to shrink down from its overgrown state.",,aberrant critter,16c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
6dc07,6,Foulspawn Seer,The abomination's flesh warps and shifts like water with each spell cast.,"Slicing into the monster's flesh, you hear the screams of souls trapped within. With one final strike, you drop the seer, stopping its reign of unholy terror.",,aberrant critter series,m 2c + p t 6c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
6dc08,6,Nothic Mindwarp,The world wavers briefly before the mindwarp vanishes from everyone in your party except yourself.,"As the mindwarp breaths its final breath, the world shimmers and then returns to normal, the spell broken.",,aberrant critter,3m p 4c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
6dc09,6,Nothic Plaguegazer,"The abomination's single, steely eye stares at you, abyssal energy crackling around it.","You pull your weapon from the plaguegazer's single eye, wiping the abomination's ocular jelly from the blade.",,aberrant critter series,2m 2t 2c + 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
6dc10,6,Nothic Brute,"Veins bulge around the abomination's massive, gelatinous, single eye. It seems transfixed on you, never a good sign.","You step away from the fallen brute, doing your best to forget what you saw here today.",,aberrant critter,m p 2t 4c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
6dc11,6,Winter Wolf,"At nearly 500 pounds, this beast would be intimidating even if it weren't growling and baring its teeth.","Red flows across the beast's torn, white fur as it staggers away, determined to live another day.",,frost critter,2p 2t 6c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
6dc12,6,Ice Troll Grunt,The cold has only served to make this troll angrier and hungrier...,"Flames devour the blue-skinned creature, preventing any chance of regeneration.",,frost critter series,7c + 8c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
6dc13,6,Frost Giant,"Towering above you, enormous battleaxe on its shoulder, the frost giant barely acknowledges your existence.","The earth shakes as the frost giant comes crashing down, it's battleaxe stuck in the ground like a massive monument to war.",,frost critter,18c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
6dc14,6,Rimefire Golem,You're not sure you can outlast the construct's constant clubbing attacks.,"The construct defeated, you close your eyes and let unconsciousness take you.",,frost critter series,m t 5c + 5c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
6dc15,6,Ice War Troll,"Trained in martial disciplines and shaped by the cold, this creature is probably better avoided than confronted.","You do your best to hide from the creature. Luckily, it seems more interested in whatever it's doing than sniffing out fresh meat.",,frost critter,t 13c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
6dc16,6,Frost Goblin Cutter,"Before you can be sure what's happening, you find yourself swarmed by an icy group of pointy-nosed assassins.","Cleaving into goblin after goblin, you wonder where they all keep coming from. The battle seems to last for hours and judging by the pile of bodies, it's not entirely impossible...",,frost critter series,2c 2t + 2m 3c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
