id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,
4dc01,4,Distracted Orc,You have the element of surprise!,"Catching the orc off guard, you are able to dispatch him with relative ease.",,orc critter,2p 5c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc02,4,Orc Axe Thrower,This orc wears more axes than armor.,You deftly avoid axe after axe before leaping in for the moral strike.,,orc critter series,3p + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc03,4,Orc Drudge,The orc carries a massive club with relative ease.,You step between the orc's corpse and the craters left in the ground by its massive club.,,orc critter,2p t 3c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc04,4,Battletested Orc,The scarred orc veteran raises his twin axes in challenge and bares cracked teeth in a confident snarl.,Your final strike sends a cracked fang hurtling across the room before sticking into a wall.,,orc critter series,2p + t 3c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc05,4,Orc Beastmaster,"With a single gesture, this bestial orc unleashes the fury of his trained war hounds upon you.","As soon as the master fall, the hounds lose their will to fight and run off to find a new alpha.",,orc critter,p 8c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc06,4,Orc Taskmaster,"The orc taskmaster pushes aside his lesser kin, determined to kill you for his own glory.","The orc mutters something unintelligible, but clearly spiteful, before the last lights fade from its eyes.",,orc critter series,p 3c + m t,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc07,4,Eye of Gruumsh,"Missing its right eye and covered in scars, the monstrous orc flies into a sudden rage and charges you!",The orc curses you as its one remaining eye closes forever.,,orc critter,2m p 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc08,4,Orc Scouts,The scouts have done a good job of finding the next victims for the warband to follow.,"You defeat the scouts, unsure of whether or not they were able to signal the warband nearby.",,orc critter series,m t 2c + t,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc09,4,Orc Warband,"Following their scouts, the orc warband raises its weapons and yells for the battle to come.","The warband defeated, the scouts run off to report their failed mission.",,orc critter,12c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc10,4,Orc Horde,A mindless wave of orcs trip over one another in an attempt to be the first to draw your blood.,You stand victorious atop a mound of gray flesh. Next time they'll need to send more orcs...,,orc critter series,m p + p 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc11,4,Deathpledged Gnoll,This particular gnoll doesn't want to stay down...,"Seemingly unkillable, you hope this time the gnoll will stay dead.",,gnoll critter,p 2t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc12,4,Gnoll Huntsman,Are you tracking the gnoll or is the gnoll tracking you?,A deadly game of cat and mouse ends with a mess of gnoll blood and fur.,,gnoll critter series,2p 2c + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc13,4,Wandering Gnoll,"You catch a glimpse of dirty, reddish-brown fur before it disappears from view.","You track the gnoll for a while, waiting for the perfect moment to strike. The creature didn't stand a chance...",,gnoll critter,2t 6c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc14,4,Gnoll Hunting Party,The gnolls snarl and bark orders to one another as they get into the best possible position to hunt their prey.,"You surprise the hunting party, sending them into a frenzy and removing their ability to coordinate, making them much easier to defeat.",,gnoll critter series,m 5c + t,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc15,4,Gnoll Outcast,Exile has not done anything to calm the wild in this gnoll.,The wild creature bites and claws until its final breath.,,gnoll critter,3m 2c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc16,4,Gnoll Bandit,"Hiding behind a rock, this crafty gnoll is almost able to get the drop on you.","A clever gnoll to be sure, but not quite clever enough.",,gnoll critter series,m + 7c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc17,4,Gnoll Ambush,You think you hear something rustling in the shadows...,The shadows held more gnolls than should have been possible... you suspect magical assistance.,,gnoll critter,11c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc18,4,Gnoll Patrol,The gnolls bark and yip at one another as they wander around the area.,"You had hoped to avoid the patrol, but after they caught your scent you had no choice but to put them down.",,gnoll critter series,2c + 7c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc19,4,Gnoll Sacrifice,The gnolls smile as their victim screams and begs for a quick death.,You kick over the last of the grotesque effigies as you release the would-be victim.,,gnoll critter,m 2p 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc20,4,Mad Gnoll,The hyena-like laughter of this crazed creature will haunt you for weeks.,"Defeated, the crazed gnoll's laugh echoes in your mind.",,gnoll critter series,5c + 4c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc21,4,Spider,The spiders grow unnaturally large around here.,You shove the spider's carcass aside and continue on your journey.,,spider critter,10c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc22,4,Blade Spider,"With the sound of a dozen swords striking against stone, the giant spider rushes toward you on its sword-like limbs.","Though it was a single creature, you feel like you've just battled a company of soldiers.",,spider critter series,2p t + 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
4dc23,4,Phase Spider,You think you catch a glimpse of the spider before it shifts out of the material plane.,"After sustaining multiple wounds, the spider shifts out of the material plane everything goes silent. You wait for a while but it doesn't seem to be coming back.",,spider critter,3p 3c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,
4dc24,4,Bristle Spider,Acidic poison drips from the massive spider's fangs.,"You stand victorious over the bristle spider, acidic burns scarring your body.",,spider critter series,p + 9c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,
4dc25,4,Death Jump Spider,"The giant spider hurls itself into the air, and is on you almost before you can draw steel.","You plunge your weapon into the spider as it lands on top of you. And just like that, the battle is over.",,spider critter series,4c + 4c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,
4dc26,4,Tomb Spider,You stumble across the arachnoid as it begins to plant its eggs into the corpse of its most recent victim.,"The tomb spider defeated, you set fire to the corpse containing the clutch of spider eggs.",,spider critter,3t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,
